fuente,baseline,feature,n_fuente,n_baseline,ks_D,ks_p,ks_D_submuestra,js_distance,wasserstein,wasserstein_norm,mediana_fuente,mediana_baseline
ours_gamer,baseline_publico_ids2018,packets,4200,50000,0.3738095238095238,0.0,0.37470000000000003,0.5577799040351437,193.16922190476183,0.38089008637288624,2.0,3.0
ours_gamer,baseline_publico_ids2018,bytes_payload,4200,50000,0.25362,3.432491558214386e-220,0.25680000000000003,0.666592798549949,118862.39246857153,0.3107167262836256,163.0,172.0
ours_gamer,baseline_publico_ids2018,pkt_size_mean_payload,4200,50000,0.47458095238095244,0.0,0.47375,0.6682713658886119,278.50058632,1.4621088283127808,163.0,64.0
ours_gamer,baseline_publico_ids2018,packets_per_s,4200,50000,0.45470571428571427,0.0,0.4619,0.6490852784582898,31787.33688961784,0.14893604912824687,0.3625655,112.61261300000001
ours_gamer,baseline_publico_ids2018,bytes_per_s_payload,4200,50000,0.2550609523809524,9.849464369630505e-223,0.25555,0.45012777608099974,312675.28762584506,0.0706726525587739,53.720138500000004,1173.1864369999998
ours_gamer,baseline_publico_ids2018,syn_count,4200,50000,0.09690476190476194,3.998850837850432e-32,0.09639999999999997,0.09178221770950612,0.15460285714285715,0.5926905881124854,0.0,0.0
ours_gamer,baseline_publico_ids2018,psh_count,4200,50000,0.2643038095238096,2.099404301567082e-239,0.26205,0.25618200174366845,4.5912085714285835,0.419659253706884,0.0,0.0
ours_gamer,baseline_publico_ids2018,ack_count,4200,50000,0.18928571428571428,4.7951001677600047e-122,0.19090000000000001,0.006081251824124582,23.720915238095497,0.24317002411954824,0.0,0.0
ours_gamer,baseline_publico_ids2018,fin_count,4200,50000,0.111844761904762,1.121268102836989e-42,0.1129,0.0,0.1849400000000001,1.0616899958102457,0.0,0.0
ours_gamer,baseline_publico_ids2018,rst_count,4200,50000,0.020642857142857185,0.07256477667026029,0.020149999999999946,0.0,0.020642857142857185,0.08566407022493124,0.0,0.0
ours_gamer,baseline_publico_ids2018,dst_port,4200,50000,0.5030523809523809,0.0,0.50435,0.6762494861752686,10016.268420000002,0.5783504058906013,10002.0,80.0
ours_admin,baseline_interno,duration_s,2682,24354,0.4033702000636032,0.0,0.3999,0.6837296685078098,8.629649560633618,0.3050004936029691,2.1e-05,0.048658999999999994
ours_admin,baseline_interno,packets,2682,24354,0.2861514694056845,1.3469625587222242e-175,0.28004999999999997,0.5968044819244827,64.16899887729812,0.28418715266874767,2.0,2.0
ours_admin,baseline_interno,bytes_payload,2682,24354,0.5018199124435825,0.0,0.4981999999999999,0.7033977588260205,14870.831970879244,0.06989436799629485,32.0,135.0
ours_admin,baseline_interno,pkt_size_mean_payload,2682,24354,0.3626081847558358,4.085535553206219e-285,0.3649,0.682029767268652,124.41979431985592,0.5604571967759174,4.571,17.6
ours_admin,baseline_interno,packets_per_s,2682,24354,0.4706270430611567,0.0,0.4758,0.6340412485162129,69527.51558602958,1.3349857037320831,305.162447,0.6666405
ours_admin,baseline_interno,bytes_per_s_payload,2682,24354,0.21724391842250734,1.3860044640281324e-100,0.22849999999999998,0.5254170941293094,1362042.0291882385,1.2317110336785566,1485.547554,143.2089255
ours_admin,baseline_interno,syn_count,2682,24354,0.18924829679454003,3.0534276617767377e-76,0.19849999999999995,0.29977499008680036,0.20871673024234816,0.22396831874951326,0.0,0.0
ours_admin,baseline_interno,psh_count,2682,24354,0.1546385445550612,6.435993750871635e-51,0.16040000000000001,0.4943538449828207,47.80117484111588,0.6412540064276475,0.0,0.0
ours_admin,baseline_interno,ack_count,2682,24354,0.16247568719331684,3.4033706462885256e-56,0.16365000000000005,0.5194106564802267,69.72781478780828,0.3587737923343599,1.0,1.0
ours_admin,baseline_interno,fin_count,2682,24354,0.09014601738451788,1.557296109011421e-17,0.08420000000000005,0.12273085148682102,0.15440237481488095,0.17426089164347877,0.0,0.0
ours_admin,baseline_interno,rst_count,2682,24354,0.23791138867256068,8.349313496858722e-121,0.23679999999999998,0.0,0.23791138867256068,0.9136320447777962,0.0,0.0
ours_admin,baseline_interno,dst_port,2682,24354,0.5242356450410142,0.0,0.52415,0.7762243300133063,2956.1960647011424,0.29499737459435615,22.0,53.0
ours_admin,baseline_script,duration_s,2682,4357,0.4386524671570875,7.248122666725006e-288,0.43505000000000005,0.7062973793756995,4.196466644436928,0.22916156909202662,2.1e-05,0.190174
ours_admin,baseline_script,packets,2682,4357,0.10630659911613341,8.651081676599864e-17,0.11089999999999997,0.4464680766309826,114.84103246475068,0.10876702169370563,2.0,2.0
ours_admin,baseline_script,bytes_payload,2682,4357,0.6266539979465103,4.35e-322,0.6202,0.8288641412643929,154072.14516869397,0.11805934540331432,32.0,132.0
ours_admin,baseline_script,pkt_size_mean_payload,2682,4357,0.5846151384188609,1.606e-321,0.5811499999999999,0.7875478867861951,165.9679562105054,0.660520886196528,4.571,48.647
ours_admin,baseline_script,packets_per_s,2682,4357,0.4923525566870458,4.096e-321,0.49065000000000003,0.6997437172059587,69590.35705833278,0.6997510475744266,305.162447,4.616369
ours_admin,baseline_script,bytes_per_s_payload,2682,4357,0.4434306216418778,2.131159698603135e-294,0.44425,0.6674705519966746,1325148.772199434,0.6364845547200136,1485.547554,152.392941
ours_admin,baseline_script,syn_count,2682,4357,0.2929495200622585,3.937360499285758e-126,0.2965,0.3488803938853599,0.40870708368355446,0.47369718408809147,0.0,0.0
ours_admin,baseline_script,psh_count,2682,4357,0.12879913985517405,1.8542861692495485e-24,0.13425,0.4523593505486788,43.88115527020984,0.20195968612344325,0.0,0.0
ours_admin,baseline_script,ack_count,2682,4357,0.3239885690559065,1.0625795730317788e-154,0.32635,0.523889052428821,115.31845477556152,0.109213412931446,1.0,0.0
ours_admin,baseline_script,fin_count,2682,4357,0.07177851749958966,6.916849446061327e-08,0.06854999999999997,0.010071082841270325,0.08153610200151051,0.10850427895635413,0.0,0.0
ours_admin,baseline_script,rst_count,2682,4357,0.20301025016186763,2.4153086118437192e-60,0.20910000000000012,0.0,0.2030102501618677,0.5512404311282494,0.0,0.0
ours_admin,baseline_script,dst_port,2682,4357,0.8453089707785922,0.0,0.8478,0.8626837148479577,7957.118352066848,0.6304611627749298,22.0,5355.0
ours_admin,baseline_publico_ctu,duration_s,2682,2978,0.5621047011917872,0.0,0.5554500000000001,0.7454940920773012,9.6728306318681,0.386298290921364,2.1e-05,0.0885465
ours_admin,baseline_publico_ctu,packets,2682,2978,0.18212529466648036,2.2559034274404214e-41,0.18719999999999995,0.4029602696654436,180.31787320289163,0.17269500214644284,2.0,2.0
ours_admin,baseline_publico_ctu,bytes_payload,2682,2978,0.6823734480397887,0.0,0.6761999999999999,0.840941101136609,129094.6603471444,0.14785311301025889,32.0,138.0
ours_admin,baseline_publico_ctu,pkt_size_mean_payload,2682,2978,0.6946819555186956,0.0,0.6974,0.7628369114579949,88.56481459637641,0.8427281898457005,4.571,80.0
ours_admin,baseline_publico_ctu,packets_per_s,2682,2978,0.5565954959787134,0.0,0.5552,0.7221167761652778,69384.53856896111,0.6309800690157259,305.162447,6.6888505
ours_admin,baseline_publico_ctu,bytes_per_s_payload,2682,2978,0.2836007430077591,1.8116954745653435e-100,0.28389999999999993,0.53164793211249,1386125.689978522,0.6023165359232989,1485.547554,348.3714645
ours_admin,baseline_publico_ctu,syn_count,2682,2978,0.3534470281442485,5.075342175609424e-157,0.35470000000000007,0.3307938503841315,0.6101189984319512,0.7368646621894648,0.0,0.0
ours_admin,baseline_publico_ctu,psh_count,2682,2978,0.1980559399303568,6.8117360934560035e-49,0.20204999999999998,0.38408390479861654,45.06663606692679,0.43571038336241896,0.0,0.0
ours_admin,baseline_publico_ctu,ack_count,2682,2978,0.470386613440147,8.795202327312743e-283,0.47430000000000005,0.5398875885290704,126.63836641460682,0.18178159175900296,1.0,0.0
ours_admin,baseline_publico_ctu,fin_count,2682,2978,0.15641525299374132,1.362374536153922e-30,0.15719999999999992,0.0,0.3033147881882,0.45442154098728477,0.0,0.0
ours_admin,baseline_publico_ctu,rst_count,2682,2978,0.224006622765305,1.5652107246644224e-62,0.22760000000000008,0.0,0.22400662276530503,0.5968878575522218,0.0,0.0
ours_admin,baseline_publico_ctu,dst_port,2682,2978,0.6250339927552236,0.0,0.6283999999999998,0.7971205126639007,20755.44718690231,1.0922875530832852,22.0,13690.0
ours_admin,baseline_publico_ids2018,duration_s,2682,50000,0.48812705443698734,0.0,0.48290000000000005,0.7219289086577907,9.164440461738941,0.30480798315014573,2.1e-05,0.026545
ours_admin,baseline_publico_ids2018,packets,2682,50000,0.27815063385533184,1.3783791667096664e-174,0.27745000000000003,0.6552421374167011,71.28191363161812,0.3636166368703814,2.0,3.0
ours_admin,baseline_publico_ids2018,bytes_payload,2682,50000,0.5516190305741984,0.0,0.5464500000000001,0.7723102595774232,8863.342138493694,0.045318128815702415,32.0,172.0
ours_admin,baseline_publico_ids2018,pkt_size_mean_payload,2682,50000,0.49184595078299775,0.0,0.4883,0.6702526966833744,72.82177498219241,0.6080780438128026,4.571,64.0
ours_admin,baseline_publico_ids2018,packets_per_s,2682,50000,0.27267063385533186,1.1289469988097687e-167,0.27215,0.7440955353800566,65514.10116698539,0.29894187808399,305.162447,112.61261300000001
ours_admin,baseline_publico_ids2018,bytes_per_s_payload,2682,50000,0.21248508575689784,2.598650621399341e-101,0.20909999999999998,0.5839113936686705,1381215.4266634386,0.3035567291025982,1485.547554,1173.1864369999998
ours_admin,baseline_publico_ids2018,syn_count,2682,50000,0.45261287099179714,0.0,0.45615000000000006,0.4614420590896314,0.7680491126025354,2.346977098421624,0.0,0.0
ours_admin,baseline_publico_ids2018,psh_count,2682,50000,0.15771812080536918,9.207679042768405e-56,0.16120000000000004,0.07775638330322535,49.66093212527964,1.4701950019074266,0.0,0.0
ours_admin,baseline_publico_ids2018,ack_count,2682,50000,0.4276236987322894,0.0,0.42955,0.4811214593789593,74.32881683818047,1.4959997052381828,1.0,0.0
ours_admin,baseline_publico_ids2018,fin_count,2682,50000,0.20879940343027592,8.281792829081392e-98,0.20859999999999995,0.0,0.4147759433258763,1.918319747156973,0.0,0.0
ours_admin,baseline_publico_ids2018,rst_count,2682,50000,0.22397203579418345,1.2173186059096973e-112,0.22780000000000006,0.0,0.22397203579418345,0.8508491517964306,0.0,0.0
ours_admin,baseline_publico_ids2018,dst_port,2682,50000,0.5237156450410142,0.0,0.5338999999999999,0.7039591399907509,7534.9896957941855,0.43888099956323173,22.0,80.0
